DATE_TIME,DESCRIPTION,LAST_UPDATED,LOCATION,LOCATION_GMAPS,NAME,NOTES,ORGANIZER,SOCIAL,SOURCE,TAGS,TYPES,URL
"June  6, 2017","Your DGB for today is to call your Member of Congress and encourage him or her to say ?NO? to Trump?s budget, for the reason that it is screamingly bad for education in the United States.
Trump?s budget recommends cutting $9B from the Dept. of Education, and those cuts would
[hurt the working class, the very people he claimed he?d ?never ever forget.?](https://www.theatlantic.com/education/archive/2017/05/trumps-education-budget-takes-aim-at-the-working-class/527718/)
Trump?s budget also
[slashes medicaid](http://www.npr.org/sections/ed/2017/05/22/529534031/president-trumps-budget-proposal-calls-for-deep-cuts-to-education)
, which will impact students with special needs, as well as economically disadvantaged students, who rely on certain health care screenings through school programs.
Other initiatives that are at risk under this budget are after-school care, teacher training, and public service loan forgiveness. This budget must be approved by Congress, which is why we?re asking you to call your rep about this mess.
Don?t know who your member of Congress is? Text your zip code to (520) 200-2223 to get the names and phone numbers for your senators, MoC, and even state legislators; or check out DGB?s handy-dandy
[government resources page](https://www.dailygrabback.com/government-resources/)
(see ?Find Your House Representative?).
Now contact your MoC and let him or her know that you do NOT support Trump?s budget because it will hurt vulnerable Americans.
Maybe Trump would value education more if he had paid attention in school when his teachers were covering things like the US Constitution, what NATO stands for, and spelling.",2017-06-07 01:49:29.739882,,"www.google.com/maps?q=40.7207559,-74.00076130000002",Trump?s Education Budget,Parsed www.dailygrabback.comfor training data,,[],dailygrabback.com,"['DGB', 'Children', 'Schools', 'Medicaid', 'Budget']",['Education'],https://www.dailygrabback.com/todays-grab-1/2017/6/6/trumps-education-budget
"June  5, 2017","Your DGB for today is to recruit your mayor to fight climate change! We want you to contact the
[mayor of your city](https://www.usmayors.org/mayors/meet-the-mayors/)
or town and ask them to commit to following the guidelines laid out in the Paris Agreement.
Last week our illustrious President decided to pull the United States out of the Paris Agreement forged to fight climate change. This is despite the fact that his best friends in Russia elected this year to participate. In a tweet about the move Trump stated ?I was elected by voters of Pittsburgh, not Paris.
I promised I would exit or renegotiate any deal which fails to serve US interests."" What Trump failed to realize before tweeting is that the voters in Pittsburgh overwhelmingly voted for Hillary Clinton and their mayor, Bill Peduto, was having none of that nonsense. He clapped back, hard. ?As the mayor of Pittsburgh, I can assure you that we will follow the guidelines of the Paris Agreement for our people, our economy & our future.? Holy covfefe!
Climate change is going to impact everyone. Let?s get our local politicians to follow the leadership Mayor Peduto is showing here. So whether you?re in Modesto or Millington, Poughkeepsie or Portland, we are asking you to reach out to your mayor and get them to help mitigate this short-sighted and idiotic move by our President.",2017-06-07 01:49:30.295589,,"www.google.com/maps?q=40.7207559,-74.00076130000002",Follow Pittsburgh Lead in Climate Change,Parsed www.dailygrabback.comfor training data,,[],dailygrabback.com,"['DGB', 'Climate Change', 'Represent Pittsburgh', 'Paris Climate Agreement', 'Covfefe']",['Community Activism'],https://www.dailygrabback.com/todays-grab-1/2017/6/5/follow-pittsburgh-lead-in-climate-change
"June  4, 2017","Your DGB for today is to sign up for
[It Starts Today](https://contribute.itstarts.today/2018? )
to help take back Congress in 2018.
There will be 468 Democrats running for seats in the House and Senate in 2018. All this initiative asks is that you donate one cent per race per month. It Starts Today doesn?t play favorites, so your $4.68 is distributed evenly once the primaries are decided.
But not all the candidates are perfect just because they?re Democrats. What if we don?t like them all? It?s not possible for every progressive candidate to satisfy our (admittedly long) list of ideal credentials, including a perfect voting record. But, this is a numbers game. In light of the national tragedy that took place on November 8, 2016, we can no longer be picky. We need to flip as many seats as we can.
You pay for Netflix every month to watch House of Cards, right? Well, give yourself the opportunity to enjoy it again as fiction for half the price.",2017-06-07 01:49:31.401211,,"www.google.com/maps?q=40.7207559,-74.00076130000002",It Starts Today,Parsed www.dailygrabback.comfor training data,,[],dailygrabback.com,"['DGB', 'Congress', '2018', 'It Starts Today']",['Donation'],https://www.dailygrabback.com/todays-grab-1/2017/6/4/it-starts-today
"June  3, 2017","Your DGB for today is to print out this
[list](http://www.transequality.org/issues/resources/supporting-the-transgender-people-in-your-life-a-guide-to-being-a-good-ally )
of ways to be a good ally to transgender folks, for yourself and/or people around you.
Recently the term ?TERF? has been circulating social media, partly because of comments by prominent feminist Chimamanda Ngozi Adichie. TERF stands for trans-exclusionary radical feminism, and it?s an extremist movement that seeks to erase and silence trans women by claiming they are not ?real women.?
[This](https://thinkprogress.org/trans-women-do-not-grow-up-with-male-privilege-e51eba1eb42c )
article breaks down the issue:
Here at DGB we urge our Grabbers to make sure their feminism is intersectional and their social justice concerns are inclusive; resisting the tenets of TERF is part of that.
If you want to do even more, please consider supporting
[Trans Lobby Day](http://www.transequality.org/translobbyday)
, which is coming up on June 8th/9th.
Trans women are real women, and real women are powerful.",2017-06-07 01:49:37.888329,,"www.google.com/maps?q=40.7207559,-74.00076130000002",Intersectionality Isn?t Just About Race - No TERF,Parsed www.dailygrabback.comfor training data,,[],dailygrabback.com,"['DGB', 'LGBTQ+', 'Feminism', 'Trans Rights', ""Women's Rights""]",['Awareness'],https://www.dailygrabback.com/todays-grab-1/2017/6/3/intersectionality-isnt-just-about-race-no-terf
"June  2, 2017","Your DGB for today is to donate to the funds set up by the Muslim community
[for the heroes](https://www.launchgood.com/project/muslims_united_for_portland_heroes#/ )
in Portland who jumped in between a violent racist and two Muslim teens last week
and/or one set up
[to help the two girls](https://www.youcaring.com/survivorsofthemaxattack-833557)
who were targeted.
On
[May 26th](http://www.huffingtonpost.com/entry/portland-attack-commuter-train_us_5929362ce4b053f2d2acaf56)
, two Muslim women on the train in Portland, OR, were verbally assaulted by a white supremacist spewing hate speech. In the process of trying to protect the women and diffuse the situation, three good samaritans were stabbed by the supremacist.
Two of the men, Ricky John Best and Taliesin Myrddin Namkai Meche, made the ultimate sacrifice and the third, Micah Fletcher, sustained serious injuries. The funds raised for them will go first to short-term needs of the families such as medical bills and funeral expenses; and then to longer term needs. Funds raised for the two girls will go towards basic expenses as well as transportation (as you can imagine, they are not too keen on public transport these days) and mental health services.
Hate crimes - particularly against Muslims - seem to be flourishing in the Trump era, but ordinary Americans are stepping up and speaking out in record numbers. If you can spare even as little as a couple dollars for these brave folks and their families, please give.
We also urge you to brush up on your training for safe and effective
[bystander intervention](https://www.dailygrabback.com/todays-grab-1/2017/2/18/bystander-intervention?rq=bystander)
.
Stay safe out there, Grabbers!",2017-06-07 01:49:38.474271,,"www.google.com/maps?q=40.7207559,-74.00076130000002",Support Portland Heroes,Parsed www.dailygrabback.comfor training data,,[],dailygrabback.com,"['DGB', 'Portland', 'White Terrorism', 'Hate Crime', 'Bystander Intervention']",['Donation'],https://www.dailygrabback.com/todays-grab-1/2017/6/2/support-portland-heroes
"June  1, 2017","Your DGB for today is to prepare to observe National Gun Violence Awareness Day tomorrow, June 2nd.
In the United States, gun violence kills nearly 100 people every single day, which is beyond unacceptable and certainly preventable. Tomorrow, we reject the culture of gun violence and every tragedy that comes with it.
You?ll observe the day in at least one of the following ways:
Wear the color orange and share your photos on social media using the hashtag #WearOrange, or post them directly to
[this site](https://wearorange.org/ )
by scrolling to the bottom of the page.
Attend a local
[event](http://act.everytown.org/event/wear-orange-2017/search/?source=emne_WearOrange&utm_source=em_n_&utm_medium=_e&utm_campaign=WearOrange)
near you.
Connect with event sponsors
[Moms Demand Action](https://momsdemandaction.org/ )
,
@MomsDemand
and
[Everytown](https://everytown.org/ )
, @Everytown.
We leave you with this Bob Dylan quote, which comes to mind with each senseless loss and lack of subsequent action to prevent further gun violence:
Yes, and how many times must a man look up
Before he can see the sky
Yes, and how many ears must one man have
Before he can hear people cry
Yes, and how many deaths will it take till he knows
That too many people have died
The answer, my friend, is blowin? in the wind
The answer is blowin? in the wind",2017-06-07 01:49:39.033374,,"www.google.com/maps?q=40.7207559,-74.00076130000002",National Gun Violence Awareness Day,Parsed www.dailygrabback.comfor training data,,[],dailygrabback.com,"['DGB', 'Gun Control', 'Moms Demand', 'Everytown', '#WearOrange']",['Activism'],https://www.dailygrabback.com/todays-grab-1/2017/6/1/national-gun-violence-awareness-day
"May 31, 2017","Your DGB for today is to
[donate to the NAACP](http://www.naacp.org/legal-department/naacp-legal-history/)
in support of their calling for racist Karl Oliver to step down from the Mississippi state legislature.
In a May 17th Facebook post, Rep. Oliver (R-Winona) called for the lynching of Louisiana leaders who take down confederate monuments. Not only is the statement clearly racist, it is a direct threat to those Louisiana leaders who called for the monuments to be taken down. Oliver?s statements are an invitation to those who agree with him to cause bodily harm to Louisiana lawmakers, much like
[45 did during his Presidential Election rallies](http://mashable.com/2016/03/12/trump-rally-incite-violence/#60WxPAE6Riqb )
when protesters annoyed him.
Oliver?s Facebook post, which was later removed, read:
""The destruction of these monuments, erected in the loving memory of our family and fellow Southern Americans, is both heinous and horrific. If the, and I use this term extremely loosely, 'leadership' of Louisiana wishes to, in a Nazi-ish fashion, burn books or destroy historical monuments of OUR HISTORY, they should be LYNCHED! Let it be known, I will do all in my power to prevent this from happening in our State.""
Karl Oliver is a first time lawmaker, and the district that he presides over just so happens to include the town of Money, where, in 1955, Emmett Till was kidnapped and murdered. Oliver has
[apologized for his words](http://www.cbsnews.com/news/miss-naacp-calls-for-resignation-of-lynching-remark-lawmaker/ )
, but we agree with the NAACP that a person who makes such divisive statements and threats should not be making laws.
Support the NAACP and call for Karl Oliver to step down. If you can?t donate, feel free to
[contact his office](http://billstatus.ls.state.ms.us/members/house/oliver.xml)
and demand his resignation.",2017-06-07 01:49:40.125484,,"www.google.com/maps?q=40.7207559,-74.00076130000002",Fire Karl Oliver,Parsed www.dailygrabback.comfor training data,,[],dailygrabback.com,"['DGB', 'Karl Oliver', 'Racism', 'Confederate Monuments', 'NAACP']",['Politics'],https://www.dailygrabback.com/todays-grab-1/2017/5/31/fire-karl-oliver
"May 30, 2017","Your DGB for today is to contact your local representatives, if applicable, or a representative in a nearby state and demand they remove all Confederate monuments.
New Orleans has been in the news lately for removing all of the Confederate monuments in their city. Many applauded this move, but some fought against it, even forming a tiki torch brigade and trying to intimidate the workers removing the statues. We applaud New Orleans, but the
[United States has a serious Confederate monument problem](https://www.usatoday.com/story/news/politics/2017/05/22/confederate-monuments-new-orleans-charlottesville-removal-race-civil-war/101870418/)
.
There are more than 700 monuments, spanning 31 states, and some in states that fought against the Confederacy. We have even seen 35 monuments erected since 2000.
The removal of monuments across New Orleans has sparked a national discussion on where Confederate monuments fit into our nation and it?s history. In a
[speech](http://pulsegulfcoast.com/2017/05/transcript-of-new-orleans-mayor-landrieus-address-on-confederate-monuments)
on why he removed the monuments, New Orleans Mayor Mitch Landrieu stated:
?
These statues are not just stone and metal. They are not just innocent remembrances of a benign history. These monuments purposefully celebrate a fictional, sanitized Confederacy; ignoring the death, ignoring the enslavement, and the terror that it actually stood for.
After the Civil War, these statues were a part of that terrorism as much as a burning cross on someone?s lawn; they were erected purposefully to send a strong message to all who walked in their shadows about who was still in charge in this city.?
We are asking you to contact the Mayors of cities that have Confederate monuments and implore them to follow the lead of Mayor Mitch Landrieu and remove the monuments. This
[list of monuments](https://en.wikipedia.org/wiki/List_of_monuments_and_memorials_of_the_Confederate_States_of_America)
isn?t complete, but it?s a start.
DGB doesn?t believe in erasing history, but we do believe in placing these monuments in a musuem or somewhere that their correct history and horror can be explained instead of celebrated. We end with one last quote from Mayor Landrieu:
?There is a difference between remembrance of history and reverence of it. For America and New Orleans, it has been a long, winding road, marked by great tragedy and great triumph. But we cannot be afraid of our truth.?",2017-06-07 01:49:40.999426,,"www.google.com/maps?q=40.7207559,-74.00076130000002",Learning From History Without Celebrating It,Parsed www.dailygrabback.comfor training data,,[],dailygrabback.com,"['DGB', 'New Orleans', 'Confederate Monuments', 'Civil War']",['Community Activism'],https://www.dailygrabback.com/todays-grab-1/2017/5/30/learning-from-history-without-celebrating-it
"May 29, 2017","Your DGB for today is to prepare for the
[March for Truth](https://www.marchfortruth.info/)
taking place Saturday, June 3rd.
The March for Truth is a worldwide demonstration with a goal of a fair and impartial Russiagate investigation and for the ?restoration of faith in our electoral system and the Office of the Presidency.? Organizers are calling for continued comprehensive congressional investigations in addition to the independent inquiry headed by Robert Mueller, and the release of pertinent financial documents, such as Trump?s tax returns.
The best way to get involved is to lace up your kicks and attend a local march. Find one near you on the
[official website](https://www.marchfortruth.info/find-a-local-march/)
or on our list of
[demonstrations](https://www.dailygrabback.com/demonstrations/)
.
You can also donate to the organization effort and find
[shareable graphics](https://www.marchfortruth.info/resources/)
to promote awareness on social media.
Lastly, here you can find our printable
[protest poster](https://www.dailygrabback.com/dgb-protest-sign/)
.",2017-06-07 01:49:41.651503,,"www.google.com/maps?q=40.7207559,-74.00076130000002",March for Truth,Parsed www.dailygrabback.comfor training data,,[],dailygrabback.com,"['DGB', 'March for Truth', 'Protest', 'Russiagate', 'Trump']",['Activism'],https://www.dailygrabback.com/todays-grab-1/2017/5/29/march-for-truth
"May 28, 2017","Your DGB for today is to
[educate](http://www.vulture.com/2016/05/colorism-from-nina-to-lemonade.html)
yourself on colorism,
and support the fight against it by purchasing a
[t-shirt](https://www.flexininmycomplexion.com/ )
for a kid you know.
If you don?t know any kids of color, consider buying one to donate to the next clothing drive in your community. Everyone deserves to feel good about the skin they?re in.
According to Alice Walker, colorism is the ?prejudicial or preferential treatment of same-race people based solely on their color.? The effect is devastating, especially on young girls. After being bullied for her dark skin at school, 10 year-old Keris Rogers
[started her own line](http://livingcivil.com/10-year-old-girl-bullied-dark-skin-launches-t-shirt-line/)
of t-shirts, Flexin? In My Complexion.
Her positive message about skin color has the potential to inspire and empower other kids.
We adults can?t just stand by and let little girls save the world all by themselves. We must make fighting colorism a part of our commitment to social justice and intersectional feminism. Let?s make sure every girl knows she?s beautiful, fierce, and perfect just the way she is.",2017-06-07 01:49:42.382760,,"www.google.com/maps?q=40.7207559,-74.00076130000002",Combat Colorism,Parsed www.dailygrabback.comfor training data,,[],dailygrabback.com,"['DGB', 'Colorism', 'Race', 'Intersectionality', 'Representation']",['Awareness'],https://www.dailygrabback.com/todays-grab-1/2017/5/28/combat-colorism
