DATE_TIME,DESCRIPTION,LAST_UPDATED,LOCATION,LOCATION_GMAPS,NAME,NOTES,ORGANIZER,SOCIAL,SOURCE,TAGS,TYPES,URL
"Thu Aug 31 2017
    09:00 AM, EDT  ",There are no notes for this event.,2017-08-31 23:10:17.472550,"433 Hay St, Fayetteville, NC 28301",,"Robert Pittenger (Republican) North Carolina, NC-9",Parsed https://resistancenearme.org for training data,Fayetteville City Hall,[],resistancenearme.org,['Town Hall'],[],https://resistancenearme.org/event.html?eid=-KqTo7AcLD4h1So8-ZqD
"Thu Aug 31 2017
    10:00 AM, EDT  ","During these meetings, constituents can meet with members of Congressman Rice?s staff for help with issues involving federal agencies, including claims processing at the VA, Social Security benefits, the IRS, obtaining passports and more. For directions or additional details regarding mobile office hours, please contact the Pee Dee District Office at (843) 679-9781 or the Grand Strand District Office at (843) 445-6459.",2017-08-31 23:10:17.479531,"Hartsville City Hall, 100 E Carolina Ave, Hartsville, SC 29550",,"Tom Rice (Republican) South Carolina, SC-7",Parsed https://resistancenearme.org for training data,Hartsville City Hall ? City Council Chamber,[],resistancenearme.org,['Office Hours'],[],https://resistancenearme.org/event.html?eid=-KrEJjKJEBb0DVtAQNX5
"Thu, Aug 10, 2017
    10:30 AM, EDT  ",There are no notes for this event.,2017-08-31 23:10:17.486011,"1515 W Palmetto Park Rd, Boca Raton, FL 33486",,"Theodore E. Deutch (Democratic) Florida, FL-22",Parsed https://resistancenearme.org for training data,The Volen Center ,[],resistancenearme.org,['Town Hall'],[],https://resistancenearme.org/event.html?eid=-Kqy7h35FzW4R6hiuHJ5
"Thu Aug 31 2017
    10:30 AM, EDT  ",There are no notes for this event.,2017-08-31 23:10:17.491901,"1515 W Palmetto Park Rd, Boca Raton, FL 33486",,"Theodore E. Deutch (Democratic) Florida, FL-22",Parsed https://resistancenearme.org for training data,Mae Volen Senior Center ,[],resistancenearme.org,['Town Hall'],[],https://resistancenearme.org/event.html?eid=-Krb8llOY0QRXQ7AQZhH
"Thu Aug 31 2017
    10:30 AM, EDT  ",There are no notes for this event.,2017-08-31 23:10:17.497837,"1515 W Palmetto Park Rd, Boca Raton, FL 33486",,"Theodore E. Deutch (Democratic) Florida, FL-22",Parsed https://resistancenearme.org for training data,The Volen Center ,[],resistancenearme.org,['Town Hall'],[],https://resistancenearme.org/event.html?eid=-Kqy7h35FzW4R6hiuHJ5
"Thu, Aug 31 2017
    8:00 AM, America/New_York  ",For more information contact Monroe District Office at (770) 207-1776.,2017-08-31 23:10:17.504944,"109 Alexander St., Crawfordville GA 30631",,"Jody Hice (Republican) Georgia, GA-10",Parsed https://resistancenearme.org for training data,Taliaferro County Farm Bureau,[],resistancenearme.org,['Town Hall'],[],https://resistancenearme.org/event.html?eid=-Ksj1OlrnCQv1oRwsocu
"Thu Aug 31 2017
    10:00 AM, CDT  ",There are no notes for this event.,2017-08-31 23:10:17.510966,"511 Main St, Mapleton, IA 51034",,"Chuck Grassley (Republican) Iowa, Senate",Parsed https://resistancenearme.org for training data,Mapleton Community Center ,[],resistancenearme.org,['Town Hall'],[],https://resistancenearme.org/event.html?eid=-KqyFx-yWQ89gF10wtzR
"Thu, Aug 31, 2017
    9:00 AM, America/Los_Angeles  ","Join Congressman Larsen for two public Senior Forums to help answer questions about retirement, disability & Medicare benefits.

PANELISTS WILL INCLUDE REPRESENTATIVES FROM:
- Social Security Administration;
- Centers for Medicare & Medicaid Services;
- Washington Statewide Health Insurance Benefits Advisors;
- Homage Senior Services in Snohomish County, and;
- Northwest Regional Council in Whatcom County.",2017-08-31 23:10:17.517800,"315 Halleck St, Bellingham, WA 98225",,"Rick Larsen (Democratic) Washington, WA-2",Parsed https://resistancenearme.org for training data,Bellingham Senior Activity Center ,[],resistancenearme.org,['Town Hall'],[],https://resistancenearme.org/event.html?eid=fb_1525395080840465
"Thu, Aug 31 2017
    9:00 AM, PDT  ","PANELISTS WILL INCLUDE REPRESENTATIVES FROM:
? Social Security Administration;
? Centers for Medicare & Medicaid Services;
? Washington Statewide Health Insurance Benefits Advisors;
? Homage Senior Services in Snohomish County, and;
? Northwest Regional Council in Whatcom County.",2017-08-31 23:10:17.525314,"315 Halleck St, Bellingham, WA 98225",,"Rick Larsen (Democratic) Washington, WA-2",Parsed https://resistancenearme.org for training data,Bellingham Senior Activity Center,[],resistancenearme.org,['Town Hall'],[],https://resistancenearme.org/event.html?eid=-KrgBU6t4hW1zzIJMf1S
"Thu, Aug 31, 2017
    9:30 AM, America/Chicago  ",There are no notes for this event.,2017-08-31 23:10:17.532522,"301 S 68th St Pl, Lincoln, NE 68510",,"Deb Fischer (Republican) Nebraska, Senate",Parsed https://resistancenearme.org for training data,Jack J. Huck Continuing Education Center Southeast Community College ,[],resistancenearme.org,['Town Hall'],[],https://resistancenearme.org/event.html?eid=-KseUwE4E7xQYpLY7ijD
