DATE_TIME,DESCRIPTION,LAST_UPDATED,LOCATION,LOCATION_GMAPS,NAME,NOTES,ORGANIZER,SOCIAL,SOURCE,TAGS,TYPES,URL
"Jun 15, 2017  6:00 PM - Jun 15, 2017  7:15 PM EDT","b'All are welcome. No RSVP required. Meetings are bi-weekly through summer, and will resume their weekly schedule in the fall. Events and volunteer opportunities are sure to arise, however!\nActivist meetings will consist of event planning, occasional training, and some administrative tasks as necessary.\nSnacks provided.\nChildren welcome, but we are unable to provide child care.\nAny event changes (time, location, cancellation, etc.) will be posted by 3pm on event day.'",2017-06-05 20:29:34.448912,"115 W Allegan St, Lansing, MI, 48933","https://www.google.com/maps?q=42.7323254,-84.5531375",LANSING ACTIVIST NIGHT,Parsed www.risestronger.org for training data,Planned Parenthood Advocates of Michigan,['https://facebook.com/events/174838329703886'],risestronger.org,[],[],https://risestronger.org/events/lansing-activist-night-386eb6e5-7fd6-4f4d-839c-165796f975e2
"Jun 17, 2017 12:00 PM - Jun 17, 2017  8:00 PM ADT","b'Knox PrideFest 2017 is an open celebration of music, entertainment and speakers focused on promoting Equality and Inclusion of ALL people. This year it will be held at the Mary Costa Plaza at the Civic Coliseum lawn in downtown Knoxville on June 17, 2017 from 12:00 pm \xe2\x80\x93 8:00 pm. The Pride Parade is at 11am.\nThroughout the afternoon and evening, vendors will have the opportunity to display information about their organization and/or business, sell or handout items of interest and interact with our community to promote inclusion and equality for the LGBTQ citizens of Knoxville and surrounding areas!'",2017-06-05 20:29:35.367609,,,KNOX PRIDEFEST 2017,Parsed www.risestronger.org for training data,Mary Costa Plaza and Performance Lawn,['https://facebook.com/events/1202776309842718'],risestronger.org,[],[],https://risestronger.org/events/knox-pridefest-2017
"Aug 26, 2017  1:00 PM - Aug 26, 2017  5:00 PM COT","b'INDIVISIBLE MARCH\xe2\x80\x8b\nJoin the Indivisible Movement to Resist Trump\xe2\x80\x99s Agenda\nRSVP 8.26\n\xe2\x80\x8bMarch in celebration of The Resistance and The 19th Amendment. INDIVISIBLE SUFFRAGISTS are in solidarity of Indivisible Actions inspired by the INDIVISIBLE GUIDE. The date of 8.26 was purposefully chosen based upon the official enactment. Thus in 1971, August 26 became designated as ""Women\'s Equality Day"" in the United States. If you are one of the 5,982+ officially registered Indivisible Groups via indivisibleguide.com and are interested in participating in the INDIVISIBLE MARCH, we welcome you to join us in celebration of our historical progress and accomplishments of THE RESISTANCE. We intend to acknowledge the 97th Anniversary of the 19th Amendment in 2017 and beyond. Please help us to uplift Indivisible Actions across the United States, and worldwide, for the countdown to the 100th anniversary in 2020. We ask that you register on indivisiblemarch.org via the RSVP page to confirm your attendance. Participation is not limited to Indivisible Groups. All like minded NPO organizations and activist groups contributing to THE RESISTANCE are welcome to take leadership in organizing and participating in the INDIVISIBLE MARCH. WE THE PEOPLE are the INDIVISIBLE MARCH.\xe2\x80\x8b\nFurther Description : TBA'",2017-06-05 20:29:36.325076,,,INDIVISIBLE MARCH ON SITKA,Parsed www.risestronger.org for training data,"Crescent Harbor Shelter? Lincoln St, Sitka, AK 99835",['https://facebook.com/events/289887998119103'],risestronger.org,[],[],https://risestronger.org/events/indivisible-march-on-sitka-40640c8d-c4dc-4906-bd78-f20b8b492b05
"Jun 8, 2017  5:00 PM - Jun 8, 2017  8:00 PM CDT","b""Time to build up our organizing strength to have a powerful impact this fall. Let's make this a Progressive Summer!\nJoin us for all three trainings for maximum readiness, or for just one - we promise we'll make these trainings political-action-muscle building and power packed! All of the workshops will be beginner-friendly yet full of material for the more politically confident as well.\nGovernment 101 - June 8th, 5-8pm @ the IMC\nYou can't win the game if you don't know the rules. This the workshop to be at to learn about municipal, state and federal government structures; how a bills becomes a law, where you can interact with legislators and legislation to have the most impact on the process; and what the responsibilities are of the different elected positions.\nVoter Registration 101 - July 13th, 5-8pm @ the IMC\nThis is how we win! There are more Democrats and Independents than Republicans, more progressives than conservatives, so why do we keep losing? Because our team doesn't get out and vote - be a part of the solution and learn how to change that at this workshop. We'll cover the technical aspects of how to register to vote and strategies to organize a voter registration drive as well as the way to organize a get out the vote campaigns that impact elections!\nPrecinct Committeeperson 101 - August 10th, 5-8 @ the IMC\nWhat the heck is a precinct committeeperson?  It is the most important and invisible position in politics and we're going to teach you all about it. Precinct Committeepersons are responsible for making sure their party voters in their precinct are informed on candidates/issues and they lead efforts to get folks to the polls. A party that has active and engaged precinct committeepeople can dramatically impact the direction of elections and politics. Come learn about what they do and how easy it is to run or support those progressives that will run for these secretly powerful positions in the next election!""",2017-06-05 20:29:37.125796,"202 S Broadway Ave, Urbana, IL, 61801","https://www.google.com/maps?q=40.1114134,-88.2068363",PROGRESSIVE SUMMER: GOVERNMENT 101,Parsed www.risestronger.org for training data,Urbana-Champaign Independent Media Center,['https://facebook.com/events/1837078783222268'],risestronger.org,[],[],https://risestronger.org/events/progressive-summer-government-101
"Jun 13, 2017  7:00 PM - Jun 13, 2017  9:30 PM EDT","b'Join the Chester County Young Democrats on June 13th at Kennett Brewing Company Kennett Square, PA.  We are a group of progressive 40 and under looking to turn Chester County Blue. This is a laid back event. Learn how you can push back against tyranny, fight for equality, freedom, and justice. You will be able to network with likeminded progressives and learn how YOU can make a difference in taking our democracy back.\nThere is a free parking lot on Church Alley directly across from the back entrance. There is also the parking garage at East Linden, or metered street parking - both of which are free after 5pm Monday-Saturday\nAdmission is free but food and drinks are not included.'",2017-06-05 20:29:38.040874,"109 S Broad St, Ste 2, Kennett Square, PA, 19348","https://www.google.com/maps?q=39.846689,-75.7098929",CHESTER COUNTY YOUNG DEMOCRATS JUNE GATHERING,Parsed www.risestronger.org for training data,Kennett Brewing Company,['https://facebook.com/events/1433928213294670'],risestronger.org,[],[],https://risestronger.org/events/chester-county-young-democrats-june-gathering
"Sep 13, 2017  5:30 PM - Sep 13, 2017  7:00 PM CDT",b'',2017-06-05 20:29:38.854120,"4501 Walnut St, Kansas City, MO, 64111","https://www.google.com/maps?q=39.0457828,-94.5844026",KANSAS CITY MEETING,Parsed www.risestronger.org for training data,"All Souls Unitarian Universalist Church Kansas City, Missouri",['https://facebook.com/events/611166172427068'],risestronger.org,[],[],https://risestronger.org/events/kansas-city-meeting-44650e08-b36a-4dfe-a862-524fb1d11f74
"Jun 9, 2017  8:00 PM - Jun 10, 2017  1:00 AM EDT","b'ACLU Benefit Bash\nYoung Heirlooms, Coconut Milk, Useless Fox, In Details, Stephen J. Anderson, In the Pines, FOUNDING FATHERS, Angry Planet\nhttp://www.southgatehouse.com/event/1441997\nDOORS: 7:30 PM / SHOW: 8:00 PM\n$10.00\nThis event is 18 and over\nSanctuary'",2017-06-05 20:29:39.679398,"111 E 6th St, Newport, KY, 41071","https://www.google.com/maps?q=39.0920894,-84.4931518",ACLU BENEFIT BASH @SGHREVIVAL,Parsed www.risestronger.org for training data,The Southgate House Revival,['https://facebook.com/events/236905416780123'],risestronger.org,['Civil Rights and Civil Liberties'],[],https://risestronger.org/events/aclu-benefit-bash-sghrevival
"Jun 11, 2017  2:00 PM - Jun 11, 2017  4:00 PM EDT","b'This is an official solidarity event of the The Equality March for Unity and Pride in Washington, DC!\nLooking to support our LGBTQ brothers and sisters in Washington but cannot make the trip? Join us in Torrington in solidarity with the worldwide Equality March for Unity and Pride. The Equality March for Unity and Pride is a grassroots movement which will mobilize the diverse LGBTQ+ communities to peacefully and clearly address concerns about the current political landscapes and how it is contributing to the persecution and discrimination of LGBTQ+ individuals.\nStarting at 2:00 we will have a rally and some featured speakers. At 3:00 we will march in solidarity with our LGBTQ sisters and brothers worldwide. Come out and show your support. For more information about the Equality March for Unity and Pride, please visit their website.\nhttp://www.equalitymarch2017.com/'",2017-06-05 20:29:40.421572,"S Main St, Torrington, CT 06790","https://www.google.com/maps?q=41.788598,-73.1184647",THE EQUALITY MARCH FOR UNITY AND PRIDE- TORRINGTON CT,Parsed www.risestronger.org for training data,Coe Park,['https://facebook.com/events/1322366837845035'],risestronger.org,[],[],https://risestronger.org/events/the-equality-march-for-unity-and-pride-torrington-ct
"Jun 15, 2017  7:00 PM - Jun 15, 2017  8:30 PM EDT",b'June meeting of the Big Bend DPC General Membership.',2017-06-05 20:29:41.219898,"200 W Park Ave, Tallahassee, FL, 32301","https://www.google.com/maps?q=30.4426123,-84.2837552",BBDPC JUNE MEETING,Parsed www.risestronger.org for training data,LeRoy Collins Leon County Public Library System,['https://facebook.com/events/278034262636428'],risestronger.org,[],[],https://risestronger.org/events/bbdpc-june-meeting
"Aug 26, 2017  1:00 PM - Aug 26, 2017  5:00 PM CDT","b'NOTICE : The following Indivisible Action currently requires Host(s). Unless official INDIVISIBLE MARCH Host(s) has been assigned to this event, the date shall be postponed (i.e. The initial scheduled date of August 26th 2017 shall be amended to the date of August 26th 2018 due to lack of leadership).indivisibleguide.com and/or indivisiblesuffragists.org (and/or all related Sponsorships and/or all Partnerships) shall NOT be liable for any special or consequential actions and/or damages that result from the use of, or the inability to use, the materials on this site or any and/or all related sites or any and/or all Social Media in association with the performance of the Host(s) organizing and representingindivisiblemarch.org, even if Indivisible Guide and/or Indivisible Suffragists has been advised of the possibility of such damages. The materials available on and/or from Facebook and Action Network are provided for general informational purposes only, do not constitute legal advice, and are not guaranteed to be complete or up-to-date in respect to the Indivisible Action INDIVISIBLE MARCH. Indivisible Suffragists does not provide legal advice and does not create an attorney-client relationship. If you need legal advice in regarding the INDIVISIBLE MARCH or any other subject matter in respect to The Resistance, please contact an attorney directly.\nORGANIZERS : The INDIVISIBLE MARCH Host(s) position is an honorable volunteered leadership position. If you represent an officially registered Indivisible Group or choose to register your group as an Indivisible Group on the indivisibleguide.com website via GROUP REGISTRATION, you qualify for the position of INDIVISIBLE MARCH Host(s) on behalf of your City or County district and may click onto the ORGANIZERS link to complete your Host(s) registration. The application for INDIVISIBLE MARCH Host(s) is not limited to representatives of Indivisible Groups, any and/or all unofficially registered progressive organizations and/or all groups resisting Trump\'s Agenda may apply as well.\nLINK :  http://indivisiblemarch.weebly.com/organizers.html\nDESCRIPTION :  INDIVISIBLE SUFFRAGISTS are in solidarity of the many Indivisible Actions inspired by the Indivisible Guide and Indivisible Groups Nationwide. The purpose of the INDIVISIBLE MARCH is to organize our resistance efforts more effectively and unify the accomplishments of more than 5,982 registered Indivisible Groups in the United States of America. We welcome you to take leadership as a Community Organizer in collaborating with other like-minded political activists to celebrate The Resistance.\nPROMOTION : We suggest that Host(s) create a FREE website via weebly.com or, if applicable, use your current Indivisible Group website for ""Host Contact Info"". That way Marchers can receive updates directly from your Indivisible Group site up until the last minute if your local INDIVISIBLE MARCH and Rally schedule changes.\nLOCATION : Location subject to change based upon required permits. Although ""Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press; or the right of the people peaceably to assemble, and to petition the Government for a redress of grievances"", WE THE PEOPLE must abide by local laws that may limit the time, place and manner of such protests, to balance the rights of others and the safety of the community.\nPARKING : TBA\nTRANSPORTATION : TBA\nDATE : The date of August 26th was purposefully chosen for the 1st Annual INDIVISIBLE MARCH. Women in the United States were granted the right to vote on August 26, 1920, when the 19th Amendment to the United States Constitution was certified as law. Thus in 1971, August 26th became designated as ""Women\'s Equality Day"" in America. We intend to acknowledge the 97th Anniversary of the 19th Amendment in 2017 and beyond. Please help us to organize this historic event in a safe, legal and peaceful manner to uplift ALL Indivisible Groups across the United States as we commemorate the countdown to the 100th anniversary of the 19th Amendment in 2020.\nTIME : 1:00 PM - 5:00 PM unless otherwise stated.\nRALLY : Schedule of Rally Speaker(s) and Entertainment TBA.\nROUTE : TBA via mapmywalk.com\nRSVP : Please RSVP to confirm your INDIVISIBLE MARCH attendance. Marcher(s) registration ticket(s) are electronic (Zero Waste) and FREE. To RSVP for various cities and states, research our Indivisible March Facebook Page and click on Events and/or enter your ZIP CODE via indivisibleguide.com and click on Act Locally to search by type ""Indivisible Action"". You may receive updates via Facebook and E-MAIL from Indivisible March Network, the sponsor of this event.'",2017-06-05 20:29:42.117367,"Veterans Memorial Park? 603 East Mill Street, Plymouth, WI 53073","https://www.google.com/maps?q=43.7393435,-87.9543229",INDIVISIBLE MARCH PLYMOUTH,Parsed www.risestronger.org for training data,,['https://facebook.com/events/1253949944703112'],risestronger.org,[],[],https://risestronger.org/events/indivisible-march-plymouth
